"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Tom Brady","TB","QB","5848","weighted",4849.62801769911,286.814365737024,37.0206017699115,2.51912288436874,11.8411504424779,1.08181813200486,49.9761238938053,18.4444903699569,1.63486725663717,0.510710950787687,2.25265044247788,0.676761749569347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1977-08-03,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",4827.95955752212,240.441372528094,37.2580530973451,2.81600673850083,11.6135752212389,1.52509371946604,359.742867256637,41.1632134880395,2.73865486725664,0.647455599412824,2.36445132743363,0.460550029911578,1.69,2.37462769705826e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,NA,NA,NA,NA
"Derek Carr","LVR","QB","11644","weighted",4584.69242477876,313.358408831639,28.4961946902655,2.37807812609835,12.3380884955752,2.17092647314693,134.541309734513,29.4715111318476,1.38796460176991,0.441892186536218,4.53350442477876,1.79945912013404,1.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1991-03-28,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",4728.08499115044,243.26737345861,34.8975575221239,2.36380337647184,13.0610442477876,1.90031211134271,289.892247787611,26.6332801181219,3.02640707964602,0.442935952981457,0.874820796460177,0.181093506628608,3.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,NA,NA,NA,NA
"Aaron Rodgers","GB","QB","7836","weighted",4310.22440707965,280.661336745723,34.6578407079646,2.62788557701066,6.52849557522124,2.03492378567384,128.237716814159,31.0434093285053,2.36621238938053,0.908709393056179,0.998137168141593,0.112254867877823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1983-12-02,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4502.90684955752,186.783342115002,33.3417699115044,2.10037810999503,11.9852389380531,1.80555603543145,212.101132743363,44.1707684378812,2.4992389380531,0.534229243131648,4.80149336283186,1.66439895079084,5.03,9.49851078823303e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4555.64155752212,230.512803756265,34.1733097345133,3.23212852843463,14.8940530973451,2.47442659323787,86.6846017699115,43.7909565508675,1.04663716814159,0.906622538383006,1.55952654867257,0.237884824591181,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4555.64155752212,230.512803756265,34.1733097345133,3.23212852843463,14.8940530973451,2.47442659323787,86.6846017699115,43.7909565508675,1.04663716814159,0.906622538383006,1.55952654867257,0.237884824591181,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Joe Burrow","CIN","QB","14777","weighted",4555.25792920354,198.747397349115,31.6940353982301,3.35219173498314,12.2386371681416,2.91096088133288,171.288743362832,58.6496626728222,2.26573451327434,0.377610893638811,1.47059513274336,0.464502201004188,1.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",4431.87927433628,201.687746395832,35.6900353982301,2.04587713296569,13.8879292035398,2.19303622352665,688.798991150442,72.596528676981,6.69375221238938,0.859528272108434,2.86926327433628,0.201840145373366,1.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-05-21,NA,NA,NA,NA
"Russell Wilson","DEN","QB","10703","weighted",4208.99357522124,212.285470041605,30.6178761061947,2.98207067277218,8.79667256637168,1.99782558650508,279.393115044248,50.7686542017411,2.17033628318584,0.33528960019355,1.41897787610619,0.377974912985635,1.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-11-29,NA,NA,NA,NA
"Kirk Cousins","MIN","QB","10700","weighted",4362.44553982301,163.979494834326,32.6289734513274,2.28557741894209,11.1809380530973,1.37132010659579,117.071504424779,17.5483146239627,1.09336283185841,0.36784726134235,2.60863938053097,0.815660090387021,2.66,4.74925539411652e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
"Kyler Murray","ARI","QB","14056","weighted",4159.17768141593,186.871211306933,27.2409380530973,1.93058424254904,12.3357699115044,1.59230041224313,523.080353982301,87.4812147962347,5.49353982300885,0.996673224653041,1.40479203539823,0.294858903708281,0.53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-08-07,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",3995.87442477876,203.833646544487,22.2206371681416,3.95198163568585,14.0509911504425,1.54917720819538,329.490831858407,44.1628376483775,2.26771681415929,0.514642821135775,3.18085398230089,1.12494444009683,1.75,2.37462769705826e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-10-06,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",3889.99348672566,265.027784532778,24.5318584070796,2.377485708997,11.9945132743363,1.14276443331776,89.505592920354,24.7039112400664,0.912424778761062,0.227806540802628,3.95698230088496,1.40112049055448,3.19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Matt Ryan","IND","QB","9099","weighted",4039.62830421377,201.93269239514,25.9956012332991,1.6340454805077,10.7870092497431,1.61407766630092,117.562446043165,42.4810155689175,1.1855704008222,0.527542964730478,3.68799588900308,0.945219807933451,1.27,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-05-17,NA,NA,NA,NA
"Jameis Winston","NO","QB","12140","weighted",3512.96646017699,503.734220197392,24.8497699115044,3.70143044028235,11.5521415929204,1.62724693762444,284.741433628319,88.8319163631009,2.07865486725664,1.35994184820045,2.21840486725664,0.45777452543944,2.1,4.74925539411652e-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1994-01-06,NA,NA,NA,NA
"Tua Tagovailoa","MIA","QB","14778","weighted",3984.18920353982,113.477482226221,25.4669203539823,2.36519787722599,13.4239469026549,1.69966959578795,197.155681415929,49.0359590497326,3.40067256637168,0.991317539474927,1.79845353982301,0.364995480314416,1.57,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-02,NA,NA,NA,NA
