"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Tua Tagovailoa","MIA","QB","14778","weighted",4410.51327527452,281.319854693949,28.3993184399849,2.74358013907227,12.4190382430897,0.835451225896477,88.7000302915562,14.168256189262,0.684172661870504,0.985256822225354,3.66110374858008,0.295984400641968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-02,NA,NA,NA,NA
"Patrick Mahomes","KC","QB","13116","weighted",4477.61585762969,257.717620391891,33.3053691783415,3.22159940368636,11.4012343809163,1.12435144578438,381.579765240439,35.3647958887076,1.81475198788338,0.705256158995264,2.75861416130254,0.606605542696493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-17,NA,NA,NA,NA
"C.J. Stroud","HOU","QB","16150","weighted",4366.6782733813,225.107198503627,29.9702839833396,3.69835874496051,9.41753881105642,1.70829638213611,194.056077243468,20.5938611241193,2.89781143506248,0.800838109540395,3.65795153351003,0.309400434247398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-10-03,NA,NA,NA,NA
"Jared Goff","DET","QB","12611","weighted",4355.31019310867,285.213673087558,28.7063990912533,2.92883950617692,10.1433320711852,1.08793595240865,48.9173343430519,13.7943220794977,1.18323362362741,0.488805267701575,2.90387163953048,0.126837767301143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1994-10-14,NA,NA,NA,NA
"Joe Burrow","CIN","QB","14777","weighted",4292.63074592957,179.986711339961,31.3096402877698,3.15977141396873,11.681453994699,1.13357891878477,197.85445664521,34.8449471825179,2.38309731162438,0.50995723235809,2.73069859901552,0.621388457296977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1996-12-10,NA,NA,NA,NA
"Kirk Cousins","ATL","QB","10700","weighted",4094.86992048467,292.988318360662,27.6146005301022,4.00501248829973,11.2683756152972,2.40961756297459,107.0244982961,43.5932691721248,1.58190079515335,0.755587248177104,4.39685725104127,0.820618545912745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-08-19,NA,NA,NA,NA
"Josh Allen","BUF","QB","13589","weighted",4119.03742521772,265.660396071884,28.3448920863309,3.71523747769726,14.6310185535782,1.80843028459351,576.536516471034,66.9799785446872,9.5825823551685,1.52950284034388,4.02791556228701,0.0311299722271117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1996-05-21,NA,NA,NA,NA
"Dak Prescott","DAL","QB","12620","weighted",4228.06413479743,184.696637078708,31.7096554335479,2.74964820625874,12.3586217341916,1.77385730745182,221.505906853465,11.7153135364046,1.90216584627035,0.28231967964247,2.51584627035214,0.275271278659978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1993-07-29,NA,NA,NA,NA
"Jordan Love","GB","QB","14782","weighted",4073.72783794017,261.01025124108,30.5706399091253,3.71297596169782,10.7607497160167,1.6514727042316,213.046149185914,43.7701278373983,2.95063990912533,0.850823457843449,2.88190079515335,0.437176466777712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-11-02,NA,NA,NA,NA
"Brock Purdy","SF","QB","15698","weighted",4116.76102991291,141.525163432721,30.1315789473684,3.13267444395676,10.8517606967058,0.872207954529449,165.602915562287,21.821293142863,1.93556985990155,0.228075677759882,2.317285119273,0.346509499135352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1999-12-27,NA,NA,NA,NA
