"player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","return_tds","return_tds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","idp_solo","idp_solo_sd","idp_sack","idp_sack_sd","idp_int","idp_int_sd","idp_pd","idp_pd_sd","idp_td","idp_td_sd","draft_year","birthdate","injury_status","injury_details","season_year","week"
"Matthew Stafford","LAR","QB","9431","weighted",4141.73825823552,136.221356217353,27.1753351003408,2.57316358714188,12.2723741007194,1.21366474517804,66.6551306323362,13.0201426370427,0.597629685725104,0.520568440999068,2.05330367285119,0.541883796035452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,1988-02-07,NA,NA,NA,NA
"Matthew Stafford","LAR","QB","9431","weighted",4141.73825823552,136.221356217353,27.1753351003408,2.57316358714188,12.2723741007194,1.21366474517804,66.6551306323362,13.0201426370427,0.597629685725104,0.520568440999068,2.05330367285119,0.541883796035452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,2003-05-23,NA,NA,NA,NA
"Trevor Lawrence","JAC","QB","15237","weighted",4061.39588034835,172.285106321836,24.5586293070807,2.99996008136625,12.451397198031,0.515323573187742,316.19220749716,22.2536976664096,3.63385838697463,0.882479788653039,5.42126088602802,0.73355903573912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-10-06,NA,NA,NA,NA
"Aaron Rodgers","NYJ","QB","7836","weighted",3891.30431654676,179.309486773172,28.0087996970844,3.23472629047489,9.75157894736842,2.0763892276093,106.385755395683,43.5646537717488,1.3926618705036,0.753210532579421,3.17028587656191,0.765362553671191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1983-12-02,NA,NA,NA,NA
"Justin Herbert","LAC","QB","14779","weighted",3920.01163953048,233.072873552933,24.8620522529345,3.54517006554978,10.4737523665278,1.81682931262841,262.441226808027,44.4594710175171,2.58352896630064,0.530093262699974,3.24556039379023,0.610898091790368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-03-10,"Q","Foot",2024,0
"Caleb Williams","CHI","QB","16579","weighted",3734.83846270352,406.495168388476,24.623839454752,4.08389621730459,12.8688602801969,0.977456515621979,423.324922377887,213.878516353104,3.97900795153351,1.38870971168423,4.36578947368421,0.820892323298914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2001-11-18,NA,NA,NA,NA
"Sam Darnold","MIN","QB","13592","weighted",3491.20404392276,571.122932712724,20.8730405149565,4.025957519367,13.7172283226051,2.71168996289131,169.619659219992,59.4708524114659,2.11346459674366,0.870740075419961,3.30552820901174,0.872518238160811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-06-05,NA,NA,NA,NA
"Derek Carr","NO","QB","11644","weighted",3862.19084437713,152.108027328032,25.4133964407421,3.21202206052925,10.6369102612647,0.756711967928823,67.3795229079894,15.0645743491486,0.35072321090496,0.490699975783793,2.6681654676259,0.408827875071197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,1991-03-28,NA,NA,NA,NA
"Geno Smith","SEA","QB","11150","weighted",3780.9123892465,180.054370191238,24.0661719045816,2.66765969481951,11.2579553199546,1.94402453747406,213.474827716774,34.440196711912,1.49149564558879,0.573747104759141,3.21094282468762,0.21662786535748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,1990-10-10,NA,NA,NA,NA
"Jalen Hurts","PHI","QB","14783","weighted",3796.79454751988,175.634116124802,24.0473002650511,3.3598886494909,12.1255509276789,1.85203459031527,652.753941688754,62.0471684214717,12.0125709958349,1.35773964818014,3.9123438091632,0.481088071184979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,1998-08-07,NA,NA,NA,NA
"Deshaun Watson","CLE","QB","13113","weighted",3657.61228322605,229.720961520981,22.5188337750852,2.38002092029448,13.1652252934495,2.7169468234201,383.479742521772,34.4118775288048,3.03894736842105,0.79557504920326,3.63318818629307,0.285158569410626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-09-14,NA,NA,NA,NA
"Baker Mayfield","TB","QB","13590","weighted",3904.2518364256,126.018702336927,26.1998106777736,2.18190747624762,11.3972889057175,0.873767737807465,162.461507004922,27.7917148600805,1.24405906853465,0.456390849111196,3.07451722832261,0.0466045394772729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1995-04-14,NA,NA,NA,NA
"Kyler Murray","ARI","QB","14056","weighted",3748.02570995835,113.157914088711,22.5785535781901,3.53799390246702,11.9056418023476,0.971665310124881,535.543301779629,75.1946137768614,5.18536160545248,0.762555799564855,2.33232677016282,1.10603227554762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-08-07,NA,NA,NA,NA
"Will Levis","TEN","QB","16149","weighted",3705.98090874669,218.5834453132,21.0793260128739,4.37372007553644,11.7092919348732,1.77612654741104,174.026709579705,51.1867534742011,2.2009011737978,0.412890426199968,4.42112836046952,0.932252764516357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1999-06-27,NA,NA,NA,NA
"Jayden Daniels","WAS","QB","16581","weighted",3577.20372586142,205.038199394726,20.6214388489209,3.5854467589108,13.6216281711473,2.35757594488586,585.885346459674,161.943074162487,4.98258992805755,0.765759091391295,4.2975766755017,0.840697413103374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-12-18,NA,NA,NA,NA
"Lamar Jackson","BAL","QB","13593","weighted",3575.55513820523,179.369137159558,24.4793941688754,2.8220324082821,9.867285119273,1.0866851422527,839.364225672094,74.6267969771571,5.17906096175691,0.962026848751953,4.91171904581598,0.9314716714894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,1997-01-07,NA,NA,NA,NA
"Anthony Richardson","IND","QB","16152","weighted",3480.38070427868,294.574307174031,20.0485422188565,3.73946434302946,11.0599318439985,0.944078218393639,652.282711094282,137.824231105437,8.60726997349489,1.52119235274527,4.66993563044301,0.814837319137985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2002-05-22,NA,NA,NA,NA
"Bryce Young","CAR","QB","16148","weighted",3368.82667171526,251.779025386907,18.0189549413101,2.88522785285963,11.4271033699356,1.37663402928708,254.348451344188,40.5652860280073,1.32187050359712,0.595636222449036,3.94305187429004,0.958867602646171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,2001-07-25,NA,NA,NA,NA
"Daniel Jones","NYG","QB","14059","weighted",3286.09025369178,220.214810528272,17.0749791745551,2.55074942217424,10.133244982961,2.48128186814149,525.17686482393,99.9494646849606,3.59413101098069,0.759093973096779,2.98154108292314,0.155069843459739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1997-05-27,NA,NA,NA,NA
"Gardner Minshew","LVR","QB","14067","weighted",2907.72140098448,511.641849527372,16.069806891329,3.96798991254951,9.85380537675123,2.3962949007885,135.43140477092,83.8226610961806,1.75332828474063,0.693276522404399,2.71099015524423,0.625544219981919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-05-16,NA,NA,NA,NA
"Bo Nix","DEN","QB","16582","weighted",3247.06617190458,179.702727113933,18.9138129496403,2.45305812278027,11.8023551684968,1.77694905672495,256.582196137827,90.4329027800635,2.26131768269595,1.42413109918394,3.54628928436198,0.271312840139137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-02-25,NA,NA,NA,NA
"Russell Wilson","PIT","QB","10703","weighted",2983.79001893222,245.250987907174,18.4311775842484,2.83936086452522,9.33024611889436,1.36156548825407,270.421726618705,56.4473523577135,2.54086330935252,1.26185228626099,3.78199545626657,0.409821010528546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,1988-11-29,NA,NA,NA,NA
"Drake Maye","NE","QB","16580","weighted",2331.50730783794,869.892869233085,10.6597576675502,6.74863179721453,8.99023097311624,4.78675168134231,187.260590685346,131.500840336019,1.43875047330557,0.88174393549753,0.860649375236653,0.346201689228614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2002-08-30,NA,NA,NA,NA
"Jacoby Brissett","NE","QB","12616","weighted",1601.79955932203,999.411372092992,9.56975423728814,6.57230479211563,5.90400847457627,4.49022669417347,104.437813559322,88.0988839066074,0.74278813559322,1.07029355008091,1.7664406779661,0.607823952408551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,1992-12-11,NA,NA,NA,NA
"Justin Fields","PIT","QB","15238","weighted",1260.67485985339,825.849698650068,5.50577835273825,3.2499327863024,3.35360068995257,1.9982125841593,277.028029322984,140.757168291569,2.22393272962484,1.59422134488674,1.51196636481242,0.785427864709926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1999-03-05,NA,NA,NA,NA
"Joe Flacco","IND","QB","9064","weighted",845.853768844221,683.761174540212,5.6421608040201,4.77273330428094,3.54949748743719,3.07853444092555,13.0743718592965,4.83277591002367,0,0,1.0821608040201,0.203121658026598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008,1985-01-16,NA,NA,NA,NA
"Aidan O'Connell","LVR","QB","16159","weighted",1120.08439646712,638.223684204114,6.2121197252208,3.10378365130309,4.21099116781158,2.35072389920438,26,30.7775735982771,0.252616944717043,0.38514028455217,0.559985279685967,0.323050100354908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023,1998-09-01,NA,NA,NA,NA
"Nick Mullens","MIN","QB","13968","weighted",553.37634936212,338.490373784017,2.72708537782139,1.32678897349163,2.14411187438665,1.60407892649636,19.4342492639843,14.410605065602,0.0014783221358295,0.00369199639162605,0.579342492639843,0.324637209065474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-03-21,NA,NA,NA,NA
"Sam Howell","SEA","QB","15693","weighted",600.701668302257,289.493444299381,3.26653581943081,1.27894881638912,2.70809617271835,1.4545725440676,41.2742885181551,24.4203468610691,0.595632973503435,0.720039238512161,0.496319921491658,0.314817544604832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,2000-09-16,NA,NA,NA,NA
"Drew Lock","NYG","QB","14057","weighted",551.251226692836,278.064969637911,2.68935230618253,1.97939755054773,1.42011776251227,0.887733499646735,31.7237487733072,25.3207438047453,0.17782728066338,0.397320546918164,0.365161923454367,0.36273306222497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1996-11-10,"Q","Hip",2024,0
"Taylor Heinicke","ATL","QB","12476","weighted",444.06993006993,364.535106439596,2.47002997002997,2.58512427175258,1.53536463536464,2.70001868383047,50.3876123876124,38.3767904378451,0.294005994005994,0.517024854350515,0.622477522477523,0.651940360758244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Browning","CIN","QB","14358","weighted",481.995904037449,230.983545871375,3.73101228788765,1.88651778226689,1.5478642480983,1.10582264683552,43.029842012873,35.430573056676,0.402984201287303,0.572111733494863,0.0404915155061439,0.036413235908958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,1970-01-01,"Q","Ribs",2024,0
"Michael Penix Jr.","ATL","QB","16583","weighted",442.066907775769,237.375417021241,2.1922845087402,1.63915744821888,1.583484026522,1.14675772248032,35.0922242314647,33.7792594064752,0.277154912597951,0.437389591275982,1.0586648583484,0.859171706138136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,2000-05-08,NA,NA,NA,NA
"Mitchell Trubisky","BUF","QB","13115","weighted",432.13986013986,306.458227530739,2.50569430569431,1.85612801808522,3.71438561438561,3.94450749771037,26.973026973027,6.96769964461414,0.196003996003996,0.344683236233677,0.807792207792208,0.910398001858958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1994-08-20,"Q","Knee",2024,0
"Mac Jones","JAC","QB","15241","weighted",457.326673326673,288.435183381481,2.30969030969031,1.5271664139357,1.53836163836164,1.91149369617167,18.9110889110889,9.58021382894179,0,0,0.185614385614386,0.201168555560488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-09-05,NA,NA,NA,NA
"Kenny Pickett","PHI","QB","15692","weighted",357.401598401598,243.509785330533,1,0,1.32667332667333,0.574472060389462,20.7402597402597,5.53133394587082,0.098001998001998,0.172341618116838,0.054945054945055,0.095969242429573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022,1998-06-06,NA,NA,NA,NA
"Joshua Dobbs","SF","QB","13119","weighted",389.622377622378,232.511855699073,2.11668331668332,1.03355330791388,1.67202797202797,1.57927720482413,48.6143856143856,29.1743313482371,0.525674325674326,0.506430713911331,0.414885114885115,0.453042730332361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,1995-01-26,NA,NA,NA,NA
"Davis Mills","HOU","QB","15252","weighted",382.147540983607,326.683332908185,2.16959761549925,1.69705627484771,1.31579731743666,1.90918830920368,26.1833084947839,17.6776695296637,0.292399403874814,0.424264068711928,0.341132637853949,0.494974746830583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,1998-10-21,NA,NA,NA,NA
"Jameis Winston","CLE","QB","12140","weighted",352.364835164835,250.449391390254,2.24542124542125,1.67687939196709,1.78659340659341,1.19022533600882,14.1298901098901,11.925380118641,0.00808998100664767,0.0165880365350351,0.076043956043956,0.0493179997656795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,1994-01-06,NA,NA,NA,NA
